SNP T1 T2 T3 T4 T5 T6 T7 T8 T9 T10
rs15 1.06e-05 1.06e-05 1.06e-05 1.06e-05 1.06e-05 1.06e-05 1.06e-05 1.06e-05 1.06e-05 1.06e-05
rs16 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05
rs17 2.68e-05 2.68e-05 2.68e-05 2.68e-05 2.68e-05 2.68e-05 2.68e-05 2.68e-05 2.68e-05 2.68e-05
rs18 1.67e-05 1.67e-05 1.67e-05 1.67e-05 1.67e-05 1.67e-05 1.67e-05 1.67e-05 1.67e-05 1.67e-05
rs19 2.28e-05 2.28e-05 2.28e-05 2.28e-05 2.28e-05 2.28e-05 2.28e-05 2.28e-05 2.28e-05 2.28e-05
rs20 2.34e-05 2.34e-05 2.34e-05 2.34e-05 2.34e-05 2.34e-05 2.34e-05 2.34e-05 2.34e-05 2.34e-05
rs21 2.12e-05 2.12e-05 2.12e-05 2.12e-05 2.12e-05 2.12e-05 2.12e-05 2.12e-05 2.12e-05 2.12e-05
rs22 1.09e-05 1.09e-05 1.09e-05 1.09e-05 1.09e-05 1.09e-05 1.09e-05 1.09e-05 1.09e-05 1.09e-05
rs23 4.84e-05 4.84e-05 4.84e-05 4.84e-05 4.84e-05 4.84e-05 4.84e-05 4.84e-05 4.84e-05 4.84e-05
rs24 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05
rs25 1.05e-05 1.05e-05 1.05e-05 1.05e-05 1.05e-05 1.05e-05 1.05e-05 1.05e-05 1.05e-05 1.05e-05
rs26 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05
rs27 2.25e-05 2.25e-05 2.25e-05 2.25e-05 2.25e-05 2.25e-05 2.25e-05 2.25e-05 2.25e-05 2.25e-05
rs28 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05
rs29 2.11e-05 2.11e-05 2.11e-05 2.11e-05 2.11e-05 2.11e-05 2.11e-05 2.11e-05 2.11e-05 2.11e-05
rs30 8.85e-05 8.85e-05 8.85e-05 8.85e-05 8.85e-05 8.85e-05 8.85e-05 8.85e-05 8.85e-05 8.85e-05
rs31 1.35e-05 1.35e-05 1.35e-05 1.35e-05 1.35e-05 1.35e-05 1.35e-05 1.35e-05 1.35e-05 1.35e-05
rs32 2.16e-05 2.16e-05 2.16e-05 2.16e-05 2.16e-05 2.16e-05 2.16e-05 2.16e-05 2.16e-05 2.16e-05
rs33 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs34 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05
rs35 1.91e-05 1.91e-05 1.91e-05 1.91e-05 1.91e-05 1.91e-05 1.91e-05 1.91e-05 1.91e-05 1.91e-05
rs36 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05
rs37 3.96e-05 3.96e-05 3.96e-05 3.96e-05 3.96e-05 3.96e-05 3.96e-05 3.96e-05 3.96e-05 3.96e-05
rs38 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05
rs39 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs40 1.11e-05 1.11e-05 1.11e-05 1.11e-05 1.11e-05 1.11e-05 1.11e-05 1.11e-05 1.11e-05 1.11e-05
rs41 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05
rs42 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05
rs43 3.83e-05 3.83e-05 3.83e-05 3.83e-05 3.83e-05 3.83e-05 3.83e-05 3.83e-05 3.83e-05 3.83e-05
rs44 2.23e-05 2.23e-05 2.23e-05 2.23e-05 2.23e-05 2.23e-05 2.23e-05 2.23e-05 2.23e-05 2.23e-05
rs45 1.12e-05 1.12e-05 1.12e-05 1.12e-05 1.12e-05 1.12e-05 1.12e-05 1.12e-05 1.12e-05 1.12e-05
rs46 3.54e-05 3.54e-05 3.54e-05 3.54e-05 3.54e-05 3.54e-05 3.54e-05 3.54e-05 3.54e-05 3.54e-05
rs47 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05
rs48 4.21e-05 4.21e-05 4.21e-05 4.21e-05 4.21e-05 4.21e-05 4.21e-05 4.21e-05 4.21e-05 4.21e-05
rs49 1.39e-05 1.39e-05 1.39e-05 1.39e-05 1.39e-05 1.39e-05 1.39e-05 1.39e-05 1.39e-05 1.39e-05
rs50 1.08e-05 1.08e-05 1.08e-05 1.08e-05 1.08e-05 1.08e-05 1.08e-05 1.08e-05 1.08e-05 1.08e-05
rs51 1.18e-05 1.18e-05 1.18e-05 1.18e-05 1.18e-05 1.18e-05 1.18e-05 1.18e-05 1.18e-05 1.18e-05
rs52 1.16e-05 1.16e-05 1.16e-05 1.16e-05 1.16e-05 1.16e-05 1.16e-05 1.16e-05 1.16e-05 1.16e-05
rs53 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05
rs54 1.33e-05 1.33e-05 1.33e-05 1.33e-05 1.33e-05 1.33e-05 1.33e-05 1.33e-05 1.33e-05 1.33e-05
rs55 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05
rs56 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05 1.26e-05
rs57 2.15e-05 2.15e-05 2.15e-05 2.15e-05 2.15e-05 2.15e-05 2.15e-05 2.15e-05 2.15e-05 2.15e-05
rs58 4.35e-05 4.35e-05 4.35e-05 4.35e-05 4.35e-05 4.35e-05 4.35e-05 4.35e-05 4.35e-05 4.35e-05
rs59 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05
rs60 1.31e-05 1.31e-05 1.31e-05 1.31e-05 1.31e-05 1.31e-05 1.31e-05 1.31e-05 1.31e-05 1.31e-05
rs61 2.99e-05 2.99e-05 2.99e-05 2.99e-05 2.99e-05 2.99e-05 2.99e-05 2.99e-05 2.99e-05 2.99e-05
rs62 2.42e-05 2.42e-05 2.42e-05 2.42e-05 2.42e-05 2.42e-05 2.42e-05 2.42e-05 2.42e-05 2.42e-05
rs63 1.98e-05 1.98e-05 1.98e-05 1.98e-05 1.98e-05 1.98e-05 1.98e-05 1.98e-05 1.98e-05 1.98e-05
rs64 0.000138 0.000138 0.000138 0.000138 0.000138 0.000138 0.000138 0.000138 0.000138 0.000138
rs65 8.25e-05 8.25e-05 8.25e-05 8.25e-05 8.25e-05 8.25e-05 8.25e-05 8.25e-05 8.25e-05 8.25e-05
rs66 1.42e-05 1.42e-05 1.42e-05 1.42e-05 1.42e-05 1.42e-05 1.42e-05 1.42e-05 1.42e-05 1.42e-05
rs67 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05
rs68 4.81e-05 4.81e-05 4.81e-05 4.81e-05 4.81e-05 4.81e-05 4.81e-05 4.81e-05 4.81e-05 4.81e-05
rs69 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs70 2.01e-05 2.01e-05 2.01e-05 2.01e-05 2.01e-05 2.01e-05 2.01e-05 2.01e-05 2.01e-05 2.01e-05
rs71 3.01e-05 3.01e-05 3.01e-05 3.01e-05 3.01e-05 3.01e-05 3.01e-05 3.01e-05 3.01e-05 3.01e-05
rs72 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs73 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05 1.04e-05
rs74 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05
rs75 1.63e-05 1.63e-05 1.63e-05 1.63e-05 1.63e-05 1.63e-05 1.63e-05 1.63e-05 1.63e-05 1.63e-05
rs76 1.29e-05 1.29e-05 1.29e-05 1.29e-05 1.29e-05 1.29e-05 1.29e-05 1.29e-05 1.29e-05 1.29e-05
rs77 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs78 5.16e-05 5.16e-05 5.16e-05 5.16e-05 5.16e-05 5.16e-05 5.16e-05 5.16e-05 5.16e-05 5.16e-05
rs79 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05 1.23e-05
rs80 2.92e-05 2.92e-05 2.92e-05 2.92e-05 2.92e-05 2.92e-05 2.92e-05 2.92e-05 2.92e-05 2.92e-05
rs81 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05
rs82 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05 1.02e-05
rs83 6.86e-05 6.86e-05 6.86e-05 6.86e-05 6.86e-05 6.86e-05 6.86e-05 6.86e-05 6.86e-05 6.86e-05
rs84 1.88e-05 1.88e-05 1.88e-05 1.88e-05 1.88e-05 1.88e-05 1.88e-05 1.88e-05 1.88e-05 1.88e-05
rs85 3.65e-05 3.65e-05 3.65e-05 3.65e-05 3.65e-05 3.65e-05 3.65e-05 3.65e-05 3.65e-05 3.65e-05
rs86 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs87 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05
rs88 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05
rs89 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05
rs90 4.78e-05 4.78e-05 4.78e-05 4.78e-05 4.78e-05 4.78e-05 4.78e-05 4.78e-05 4.78e-05 4.78e-05
rs91 1.15e-05 1.15e-05 1.15e-05 1.15e-05 1.15e-05 1.15e-05 1.15e-05 1.15e-05 1.15e-05 1.15e-05
rs92 3.25e-05 3.25e-05 3.25e-05 3.25e-05 3.25e-05 3.25e-05 3.25e-05 3.25e-05 3.25e-05 3.25e-05
rs93 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05
rs94 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05 1.58e-05
rs95 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05 1.01e-05
rs96 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05
rs97 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05 1.77e-05
rs98 1.13e-05 1.13e-05 1.13e-05 1.13e-05 1.13e-05 1.13e-05 1.13e-05 1.13e-05 1.13e-05 1.13e-05
rs99 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05 1.28e-05
rs100 1.24e-05 1.24e-05 1.24e-05 1.24e-05 1.24e-05 1.24e-05 1.24e-05 1.24e-05 1.24e-05 1.24e-05
